name,cntry,Gndr,W4q50,C2weight,Eduyrs,Netusoft
CRON2W4e01,AT,Femenino,Todo el tiempo,0.78707856,19,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.91455054,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.41453734,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.37239876,17,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.6400703,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.740345,14,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,2.4625297,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,2.4905221,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.5541461,99,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.28417277,19,Less often
CRON2W4e01,AT,Femenino,Algunas veces,2.4306493,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.1027106,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.41307327,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.7191954,15,Less often
CRON2W4e01,AT,Femenino,Algunas veces,4.2214303,10,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.3681237,13,A few times a month
CRON2W4e01,AT,Femenino,Rara vez,0.5317112,17,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.44848266,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.9105122,23,Less often
CRON2W4e01,AT,NA,Algunas veces,0.95627135,15,A few times a week
CRON2W4e01,AT,Masculino,Todo el tiempo,0.9564475,13,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.78943294,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.8056697,11,A few times a month
CRON2W4e01,AT,Femenino,Nunca,0.6593187,26,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.36518878,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.0118964,23,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.24998978,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.44354826,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.49414003,13,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.5933751,11,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.3124384,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.91357803,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,3.4856386,8,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.490691,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.774596,14,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.50752723,19,Less often
CRON2W4e01,AT,Masculino,Rara vez,3.2129366,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.1059799,16,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.8201279,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.2339181,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.55083656,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.59115314,19,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.27413598,23,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.17656331,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,2.6843204,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.0808984,21,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.0564822,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.27020016,12,A few times a week
CRON2W4e01,AT,Femenino,Algunas veces,2.45915,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.0168676,18,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.2821689,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.47458196,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.54953736,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.52772725,13,A few times a month
CRON2W4e01,AT,Femenino,Rara vez,1.3606325,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.9290025,21,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.34933296,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.34159192,18,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.92006713,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.9247156,13,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,0.5576151,14,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.9548903,11,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.7361366,16,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.2212859,14,A few times a month
CRON2W4e01,AT,Femenino,Rara vez,0.7178705,12,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,0.65369344,20,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,4.0375686,18,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.62771386,15,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,0.47178805,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,2.2045362,12,A few times a month
CRON2W4e01,AT,Masculino,Todo el tiempo,0.55136114,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.39629483,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.87484425,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.77256787,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.9971587,18,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.3028791,12,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,1.1239903,13,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.76965076,20,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,4.4115024,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.6765832,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.50134957,11,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.19682765,15,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.77496064,14,Less often
CRON2W4e01,AT,Femenino,NA,0.7892728,19,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,1.284589,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.96347976,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0554506,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.15949668,17,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.24887079,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.2935233,25,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.5139494,16,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,0.5244006,11,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.5617381,20,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.94410944,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.5992861,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,3.2306368,16,A few times a week
CRON2W4e01,AT,Masculino,Algunas veces,0.29446217,16,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.48544303,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.68327004,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.59221244,20,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.0953803,12,Less often
CRON2W4e01,AT,Femenino,Nunca,1.7996095,25,Less often
CRON2W4e01,AT,Masculino,NA,7.4336457,99,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,1.0448958,7,Most days
CRON2W4e01,AT,Masculino,Todo el tiempo,0.48492345,13,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,1.5194255,21,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0647874,12,A few times a week
CRON2W4e01,AT,Femenino,Rara vez,0.25740632,25,Less often
CRON2W4e01,AT,Masculino,Algunas veces,6.515565,9,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.541951,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.8160211,14,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.24726303,19,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.9514629,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.5112228,12,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.46019694,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.31005186,13,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,1.5163041,15,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.55865914,13,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.41771147,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.41078386,14,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,3.3238983,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0396158,13,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.721596,19,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.32399127,28,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0468026,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.7634696,11,Less often
CRON2W4e01,AT,Femenino,Nunca,0.532332,14,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.89050484,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.2016176,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.5477489,19,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.120250404,15,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.1172633,99,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,1.505567,12,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.36912298,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.20178568,5,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.6144291,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.47684562,18,A few times a month
CRON2W4e01,AT,Masculino,Todo el tiempo,0.30365208,17,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.70917046,19,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.5113925,15,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,1.112096,12,A few times a month
CRON2W4e01,AT,Femenino,Rara vez,1.1740009,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.26481375,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.0236733,18,Less often
CRON2W4e01,AT,Femenino,Rara vez,2.6625319,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.7577854,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.24652319,18,Less often
CRON2W4e01,AT,Femenino,Nunca,0.5384367,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.382983,14,A few times a week
CRON2W4e01,AT,Femenino,Rara vez,3.8782704,9,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.1316658,20,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.5422279,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.37939873,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.26271704,17,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.3989059,12,A few times a month
CRON2W4e01,AT,Masculino,Rara vez,1.332372,21,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.3982019,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.35035792,13,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.97339976,16,Less often
CRON2W4e01,AT,Masculino,Nunca,0.46800992,18,A few times a week
CRON2W4e01,AT,Masculino,Algunas veces,1.1088483,16,Less often
CRON2W4e01,AT,Masculino,NA,1.880919,13,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.584595,13,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.38943014,13,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.2769762,17,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.6238667,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.6430181,12,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.45356086,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.6911684,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.3863927,14,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,0.7668206,15,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.8543657,11,Less often
CRON2W4e01,AT,Masculino,Nunca,0.48534045,22,A few times a week
CRON2W4e01,AT,Femenino,Algunas veces,1.953871,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,4.7405605,10,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.24270476,14,A few times a month
CRON2W4e01,AT,Masculino,Todo el tiempo,0.57234824,19,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.81381935,19,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.23667799,14,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.3431772,16,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.27090323,22,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.0608011,11,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.1916404,18,Less often
CRON2W4e01,AT,Femenino,Algunas veces,2.0372963,16,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.38515383,11,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.1033373,13,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.5790538,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.4693429,16,A few times a month
CRON2W4e01,AT,Masculino,Todo el tiempo,0.29873532,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,3.638732,20,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,1.3834598,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.908889,21,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.122430734,23,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.1353163,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.2166692,99,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.0861026,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.8474488,18,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.0561804,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.47922108,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.71350944,17,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.93178844,13,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,4.1743307,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.99847007,16,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,1.2320951,11,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.5432291,12,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,1.3651136,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.73916996,15,Less often
CRON2W4e01,AT,Femenino,Nunca,0.79858994,19,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.1360055,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.34244382,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,4.727003,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.81539816,17,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.43019038,13,Less often
CRON2W4e01,AT,Femenino,Nunca,1.3431683,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.9253832,10,A few times a month
CRON2W4e01,AT,Masculino,Algunas veces,0.46497592,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.84258956,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.29911134,18,Less often
CRON2W4e01,AT,Masculino,Algunas veces,2.3200212,17,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.30505198,11,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.861715,21,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.6475971,15,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.37988234,20,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.7467877,15,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.1355703,10,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.33321807,17,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.2375958,20,Less often
CRON2W4e01,AT,Femenino,Nunca,2.792277,12,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,1.3030329,12,A few times a month
CRON2W4e01,AT,Femenino,Todo el tiempo,0.7688832,15,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.3150188,17,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.99847007,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.7647678,18,Less often
CRON2W4e01,AT,Masculino,NA,0.6121196,7,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.27599138,16,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.6087001,99,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.2911954,18,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.29207328,16,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.5397528,14,Less often
CRON2W4e01,AT,Femenino,Algunas veces,1.4338866,15,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.9143912,23,Less often
CRON2W4e01,AT,Masculino,Algunas veces,1.2686626,22,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,0.5054909,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.788998,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.7518583,12,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.24572851,21,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.25228602,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.6533511,19,A few times a month
CRON2W4e01,AT,Femenino,Algunas veces,0.35997677,20,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.6904627,12,A few times a week
CRON2W4e01,AT,Masculino,Rara vez,0.69259846,15,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.30820224,15,Less often
CRON2W4e01,AT,Masculino,Todo el tiempo,0.4521308,14,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.97725534,16,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.14108123,12,Less often
CRON2W4e01,AT,Masculino,Rara vez,1.0078441,15,Less often
